"nct_id","Study.Status","Interventions","Primary.Outcome.Measures","Secondary.Outcome.Measures","Sponsor","Phases","Start.Date","Primary.Completion.Date"
"NCT04640077","COMPLETED","OTHER: No Intervention|DRUG: donanemab","Part A: Correlation between VTC and on-site assessment for PAIR 1 for Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog13), Correlation between VTC and on-site assessment for PAIR 1 (defined as completing a VTC evaluation and one in person evaluation regardless of order) for the ADAS-Cog13. The ADAS-Cog13 (13-item version of ADAS Cog) assesses areas of cognitive function that are the most typically impaired in AD: orientation, verbal memory, language, praxis, delayed free recall, digit cancellation, and maze-completion measures. The ADAS-Cog13 scale ranges from 0 to 85, with higher scores indicating greater disease severity., 1 Month|Part A: Correlation between VTC and on-site assessment for PAIR 1 for Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory (ADCS-ADL), Correlation between VTC and on-site assessment for PAIR 1 for ADCS-ADL. The ADCS-ADL is a 23-item inventory developed as a rater-administered questionnaire answered by the participant's caregiver. The ADCS-ADL measures both basic and instrumental activities of daily living by participants. The range for the total ADCS-ADL score is 0 to 78, with lower scores indicating greater level of impairment. Alzheimer's Disease Cooperative Study Instrumental Activities of Daily Living Inventory (ADCS-iADL) is calculated from a subset of questions from the ADCS-ADL. The range for the ADCS-iADL is 0-59 with higher scores reflecting better performance., 1 Month|Part A: Correlation between VTC and on-site assessment for PAIR 1 for Mini Mental State Examination (MMSE) Score, Correlation between VTC and on-site assessment for PAIR 1 for MMSE. The MMSE is a brief instrument used to assess cognitive function in participants. The range for the total MMSE score is 0 to 30, with lower scores indicating greater level of impairment., 1 Month|Part A: Correlation between VTC and on-site assessment for PAIR 1 for Clinical Dementia Rating-Sum of Boxes (CDR-SB), Correlation between VTC and on-site assessment for PAIR 1 for CDR-SB. The CDR-SB is a global assessment tool than can be used to effectively evaluate both cognition and function. The CDR-SB scores are calculated by adding the box scores and range from 0 to 18 (with higher scores indicative of more impairment)., 1 Month|Part B: Percentage of Participants with One or More Adverse Events (AEs) or Serious AEs, A summary of serious and other non-serious adverse events regardless of causality is located in the Reported Adverse Events module., Up to 72 Weeks","Part B: Change from Baseline on the MMSE Score, Change from Baseline on the MMSE Score. The MMSE is a brief instrument used to assess cognitive function in participants. The range for the total MMSE score is 0 to 30, with lower scores indicating greater level of impairment., Baseline, Week 72|Part B: Change from Baseline on the ADAS-Cog13 score, Change from Baseline on the ADAS-Cog13. The ADAS-Cog13 (13-item version of ADAS Cog) assesses areas of cognitive function that are the most typically impaired in AD: orientation, verbal memory, language, praxis, delayed free recall, digit cancellation, and maze-completion measures. The ADAS-Cog13 scale ranges from 0 to 85, with higher scores indicating greater disease severity., Baseline, Week 72|Part B: Change from Baseline on the Integrated Alzheimer's Disease Rating Scale (iADRS), Change from Baseline on the iADRS. The iADRS is a composite that measures both cognition and function from the ADAS- Cog and the ADCS-iADL. The iADRS is calculated as a linear combination of the total scores of the ADAS-Cog13 (score range 0 to 85 with higher scores reflecting worse performance) and the ADCS-iADL (score range from 0-59 with higher scores reflecting better performance). The iADRS score ranges from 0 to 144 with lower scores indicating greater impairment., Baseline, Week 72|Part B: Change from Baseline on the ADCS-iADL, Change from Baseline on the ADCS-iADL. The ADCS-ADL is a 23-item inventory developed as a rater-administered questionnaire answered by the participant's caregiver. The ADCS-ADL measures both basic and instrumental activities of daily living by participants. The range for the total ADCS-ADL score is 0 to 78, with lower scores indicating greater level of impairment. ADCS-iADL is calculated from a subset of questions from the ADCS-ADL. The range for the ADCS-iADL is 0-59 with higher scores reflecting better performance., Baseline, Week 72|Part B: Change from Baseline on the CDR-SB, Change from Baseline on the CDR-SB. The CDR-SB is a global assessment tool than can be used to effectively evaluate both cognition and function. The CDR-SB scores are calculated by adding the box scores and range from 0 to 18 (with higher scores indicative of more impairment)., Baseline, Week 72|Part B: Change from Baseline in Brain Amyloid Plaque Deposition as Measured by Florbetapir F18 Positron Emission Tomography (PET) Scan, Change from Baseline in Brain Amyloid Plaque Deposition as Measured by Florbetapir F18 PET Scan, Baseline, Week 72|Part B: Change from Baseline in Brain Volume as Measured by Volumetric Magnetic Resonance Imaging (vMRI) measures, Change from Baseline in Brain Volume as Measured by vMRI, Baseline, Week 72|Part B: Pharmacokinetics (PK): Average Serum Concentration of Donanemab, PK: Average Serum Concentration of donanemab, Predose, Up to Week 72|Part B: Number or Participants with Anti-Donanemab Antibodies, Number or Participants with Anti-donanemab Antibodies, Baseline to Week 72|Part B: Change from Baseline in Columbia-Suicide Severity Rating Scale (C-SSRS), Change from Baseline in Columbia-Suicide Severity Rating Scale (C-SSRS). The C-SSRS is a scale that captures the occurrence, severity, and frequency of suicidal ideation and behavior during the assessment period via a questionnaire. Some questions are yes/no and some are on a scale of 1 (low severity) to 5 (high severity)., Baseline, Week 72","Eli Lilly and Company","PHASE2","2020-11-23","2024-02-27"
"NCT05469360","ACTIVE_NOT_RECRUITING","DRUG: NIO752|DRUG: NIO752|DRUG: Matching placebo|DRUG: NIO752","Change in cerebrospinal total tau from baseline to Day 85, Total tau protein levels in cerebrospinal fluid. More frequent timepoints might be added as deemed necessary per the site Investigator's judgment., Baseline, Day 85","Number of adverse events and serious adverse events, Adverse events are collected at each clinic visit. Laboratory values and other safety assessment values considered clinically significant by the investigator and meet the definition of adverse event will be reported., Baseline up to 170 days (placebo-controlled part) and up to 589 days (OLE part)|Concentration of NIO752 in cerebrospinal fluid (CSF), Concentration of NIO752 in CSF, Pre-dose, Days 57, 85, 170 (placebo-controlled part) and Days 252, 420, and 588 (OLE part)|Cmax, Ctrough in plasma, Maximum and trough level concentrations of NIO752 in plasma, Pre-dose, 0.5, 1, 2, 3 4, 5, 6, 24 hours post first dose, Days 14, 57, 85 and 170 (placebo-controlled part) and Days 252, 253, 420, 421, and 588 (OLE-part)|Tmax in blood plasma, Time of Cmax in plasma post-IT injection, Pre-dose, 0.5, 1, 2, 3 4, 5, 6, 24 hours post dose, Days 14, 57, 85 and 170 (placebo-controlled part) and Days 252, 253, 420, 421, and 588 (OLE-part)|AUC-last in blood plasma, Area under curve (AUC) from time zero to the last measurable concentration sampling time (t-last) (mass x time x volume-1), Pre-dose, 0.5, 1, 2, 3 4, 5, 6, 24 hours post dose, Days 14, 57, 85 and 170 (placebo-controlled part) and Days 252, 253, 420, 421, and 588 (OLE-part)|AUC-inf in blood plasma, The AUC from time zero to infinity (mass x time x volume-1), Pre-dose, 0.5, 1, 2, 3 4, 5, 6, 24 hours post dose, Days 14, 57, 85 and 170 (placebo-controlled part) and Days 252, 253, 420, 421, and 588 (OLE-part)","Novartis Pharmaceuticals","PHASE1","2023-02-23","2025-10-21"
"NCT05575076","ENROLLING_BY_INVITATION","DRUG: Simufilam","Adverse event monitoring, Adverse event monitoring, Baseline to 52 weeks",NA,"Cassava Sciences, Inc.","PHASE3","2022-11-07","2026-07-15"
"NCT06534723","NOT_YET_RECRUITING","DRUG: Wujia Yizhi granules|DRUG: Placebo","Change from baseline to endpoint in Alzheimer's dementia Assessment Scale-Cognitive subscore (ADAS-Cog12)., The Alzheimer's Disease Assessment Scale - Cognitive Scale (ADAS-Cog12) is used to assess the cognitive function level of AD subjects. The ADAS-Cog12 score range is 0-75 points, and the higher the score on the scale, the more severe the cognitive impairment., Change from Baseline to Month 12|Change from baseline to endpoint in Clinical Dementia Rating-Sum of Boxes (CDR-SB)., The Alzheimer's Disease Assessment Scale - Cognitive Scale (CDR-SB) is used to assess the cognitive function level of AD subjects. The CDR-SB score range is 0-3 points, and the higher the score on the scale, the more severe the cognitive impairment., Change from Baseline to Month 12","Change from baseline to endpoint in ADAS-Cog12., The Alzheimer's Disease Assessment Scale - Cognitive Scale (ADAS-Cog12) is used to assess the cognitive function level of AD subjects. The ADAS-Cog12 score range is 0-75 points, and the higher the score on the scale, the more severe the cognitive impairment., Change from Baseline to month 3, 6, and 9|Change from baseline to endpoint in CDR-SB., The Alzheimer's Disease Assessment Scale - Cognitive Scale (CDR-SB) is used to assess the cognitive function level of AD subjects. The CDR-SB score range is 0-3 points, and the higher the score on the scale, the more severe the cognitive impairment., Change from Baseline to month 3, 6, and 9|Change from baseline to endpoint in he Alzheimer's dementia Cooperative Study-Activities of Daily Living (ADCS-ADL) scale., The Alzheimer's Disease Collaborative Study Group - Activities of Daily Living Scale (ADCS-ADL) is used to evaluate the daily living abilities of AD subjects. The score range of ADCS-ADL is from 0 to 78, with higher numbers indicating better daily functioning., Change from Baseline to month 3, 6, 9 and 12|Change from baseline to endpoint in Mini-Mental State Examination (MMSE)., The Simple Intelligent State Examination Scale (MMSE) has a total of 19 items, with scores ranging from 0 to 30. In clinical practice, the diagnostic threshold is usually adjusted based on educational level, with university ≤ 26 points, middle school ≤ 24 points, primary school ≤ 23 points, and illiteracy ≤ 22 points, indicating dementia., Change from Baseline to month 3, 6, 9 and 12|Change from baseline to endpoint in Neuropsychiatric Inventory (NPI)., The Neuropsychiatric Inventory (NPI) includes a total of 12 items in 10 behavioral domains and 2 autonomic nervous system domains, with a score range of 0-144. The caregiver distress rating is 0-60, where 0 represents the best, and the higher the score, the higher the level of distress., Change from Baseline to month 3, 6, 9 and 12|Change from baseline to endpoint in Traditional Chinese Medicine Syndrome Score, TCM syndrome scale was used to evaluate the changes of TCM symptoms and signs before and after treatment., Change from Baseline to month 3, 6, 9 and 12","Sichuan Jishengtang Pharmaceutical Co., Ltd.","PHASE3","2024-08-28","2026-08-31"
"NCT04777396","ACTIVE_NOT_RECRUITING","DRUG: Semagludtide|DRUG: Placebo (semaglutide)","Change in the Clinical Dementia Rating - Sum of Boxes (CDR-SB) score, Score on scale (0 to 18)
Measures the impact of cognitive decline on daily function using the following six domains commonly affected in Alzheimer's disease:
* Cognitive domains: memory, orientation, and judgement and problem solving
* Function domains: community affairs, home and hobbies, and personal care Based on clinical information obtained from the subject and informant, an individual box score ranging from 0 to 3 is determined that represents ""none"" to ""severe"" impairment for each of the six domains.
The CDR-Sum of Boxes (CDR-SB) score will be derived by adding the individual scores of the six domains at a given time point. The total CDR-SB score ranges from 0 to 18 with higher scores representing greater impairment., From baseline (week 0) to week 104","Change in the Alzheimer's Disease Cooperative Study Activities of Daily Living Scale for MCI (ADCS-ADL-MCI), Score on scale (0 to 53) An interview-based assessment of information provided by the study partner (informant). The total scores based on 18 items on the scale range from 0 to 53 with lower scores representing greater impairment., From baseline (week 0) to week 104|Time to progression to dementia (CDR global greater than or equal to 1.0) among subjects with MCI (CDR global equal to 0.5) at baseline, Week(s), From baseline (week 0) to week 104|Change in the Alzheimer's Disease Composite Score (ADCOMS), Score on scale (0 to 1.97) The ADCOMS is a composite clinical outcome comprising 4 items from the ADAS-Cog-13, 2 items from the MMSE and all 6 items from the CDR-SB.32 The total scores on the scale range from 0 to 1.97 with higher scores indicating greater impairment., From baseline (week 0) to week 104|Change in the Mini-Mental State Examination (MMSE) score, Score on scale (0 to 30) The MMSE measures orientation, attention, memory, language and visuo-spatial function. The total scores on the scale range from 0 to 30 with lower scores indicating greater impairment., From baseline (week 0) to week 104|Change in the 10-item Neuropsychiatric Inventory (NPI) score, Score on scale (0 to 120) The 10-item scale assesses symptoms including delusions, hallucinations, agitation/aggression, dysphoria, anxiety, euphoria, apathy, disinhibition, irritability/lability and aberrant motor activity. For each domain the frequency (4-point scale) and severity (3-point scale) of symptoms is reported. The score for each domain is calculated by multiplying the frequency and severity score. The total 10-item NPI score is 0 to 120 with higher scores indicating a greater symptomatology., From baseline (week 0) to week 104|Time to progression in disease stage based on global CDR score, Week(s), From baseline (week 0) to week 104|Number of treatment emergent adverse events (TEAEs), Number of events, From baseline (week 0) to week 104|Change in high sensitivity C-reactive protein level, Ratio, From baseline (week 0) to week 104|Time to first occurrence of major adverse cardiovascular event (MACE) comprising non-fatal myocardial infarction, non-fatal stroke and all-cause death, Week(s), From baseline (week 0) to week 104|Time to first occurrence of stroke, Week(s, From baseline (week 0) to week 104|Change in the EQ-5D-5L proxy score, Score The EQ-5D-5L descriptive system comprises mobility, self-care, usual activities, pain/discomfort and anxiety/depression with five response levels each (no problems, slight problems, moderate problems, severe problems, unable to /extreme problems). The EQ-5D-5L proxy version 1 (the study partner is asked to rate how he/she \[the proxy\] would rate the subject´s health) will be used in this trial., From baseline (week 0) to week 104|Extension phase: Change in the CDR-SB score, Score on scale (0 to 18)
Measures the impact of cognitive decline on daily function using the following six domains commonly affected in Alzheimer's disease:
* Cognitive domains: memory, orientation, and judgement and problem solving
* Function domains: community affairs, home and hobbies, and personal care Based on clinical information obtained from the subject and informant, an individual box score ranging from 0 to 3 is determined that represents ""none"" to ""severe"" impairment for each of the six domains.
The CDR-Sum of Boxes (CDR-SB) score will be derived by adding the individual scores of the six domains at a given time point. The total CDR-SB score ranges from 0 to 18 with higher scores representing greater impairment., From baseline (week 0) to week 156|Change in the ADCS-ADL-MCI (Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory-Mild Cognitive Impairment ) score, Score on scale (0 to 53) An interview-based assessment of information provided by the study partner (informant). The total scores based on 18 items on the scale range from 0 to 53 with lower scores representing greater impairment., From baseline (week 0) to week 156|Time to progression to dementia (CDR global greater than or equal to 1.0) among subjects with MCI (CDR global equal to 0.5) at baseline, Week(s), From baseline (week 0) to week 156","Novo Nordisk A/S","PHASE3","2021-05-18","2025-09-19"
"NCT05980949","RECRUITING","DRUG: KarXT","Incidence of treatment-emergent adverse events (TEAEs), The number and percentage of participants with TEAEs will be determined, From initial dose through 14 days after the final dose (up to 54 weeks)","Incidence of serious TEAEs, The number and percentage of participants with serious TEAEs will be determined, From initial dose through 14 days after the final dose (up to 54 weeks)|Incidence of TEAEs leading to withdrawal, The number and percentage of participants with TEAEs leading to withdrawal will be determined, From initial dose through 14 days after the final dose (up to 54 weeks)","Karuna Therapeutics","PHASE3","2023-07-11","2026-04-30"
"NCT05983575","RECRUITING","DEVICE: LIPUS-Brain|DEVICE: Placebo","Changes in ADAS-J-cog-14 scores from baseline to Week 72, Performed at Week 72","Changes in ADAS-J-cog-14 scores from baseline to Week 24 and 48, Performed at Week 24 and 48|Changes in CDR-SB from baseline to Week 48 and 72, Performed at Week 48 and 72|Changes in NPIQ-J scores from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Changes in J-ZBI scores from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Changes in WMS-R scores from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Changes in MMSE-J scores from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Changes in FAQ scores from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Changes in EQ-5D-5L scores from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Changes in ABC Dementia scale scores from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Changes in each 14 item of ADAS-J-cog-14 score from baseline to Week 24, 48 and 72, Performed at Week 24, 48 and 72|Prevalence of responders at Week 24, 48, and 72 defined as those with no deterioration or even improvement in ADAS-J-cog-14 scores, Performed at Week 24, 48 and 72|Transition rate from MCI due to AD to AD at Week 72, Performed at Week 72|Termination due to aggravation of dementia symptoms, If medication needs to be started or changed, dementia is considered worsening., Performed up to 96 weeks","Sound Wave Innovation CO., LTD.","PHASE3","2023-10-31","2026-01-31"
"NCT04241068","TERMINATED","DRUG: Aducanumab","Core Treatment Period: Number of Participants with Adverse Events (AEs) and Serious Adverse Events (SAEs), An AE is any untoward medical occurrence in a participant or clinical investigation participant administered a pharmaceutical product and that does not necessarily have a causal relationship with this treatment. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with the use of a medicinal (investigational) product, whether or not related to the medicinal (investigational) product. A SAE is any untoward medical occurrence that at any dose results in death, life-threatening event, requires inpatient hospitalization, significant disability/incapacity or congenital anomaly., Up to Week 100|Core Treatment Period: Number of Participants with AEs Leading to Treatment Discontinuation or Study Withdrawal, An AE is any untoward medical occurrence in a participant or clinical investigation participant administered a pharmaceutical product and that does not necessarily have a causal relationship with this treatment. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with the use of a medicinal (investigational) product, whether or not related to the medicinal (investigational) product., Up to Week 100|Core Treatment Period: Number of Participants with Amyloid-related Imaging Abnormality-Edema (ARIA-E), Magnetic resonance imaging (MRI) readings will be used to assess ARIA-E severity as mild, moderate and severe., Up to Week 100|Core Treatment Period: Number of Participants with Amyloid-related Imaging Abnormality- Hemorrhage or Superficial Siderosis (ARIA-H), MRI readings will be used to assess severity of ARIA-H microhemorrhages and superficial siderosis., Up to Week 100|Core Treatment Period: Number of Participants With Antidrug Antibodies (ADAs) in Serum, Presence of serum ADAs will be determined using a validated assay., Up to Week 100",NA,"Biogen","PHASE3","2020-03-02","2024-07-22"
"NCT05194163","NOT_YET_RECRUITING","DRUG: MW150|DRUG: Placebo","Drug Safety- Blood tests, Number of participants with treatment-related adverse events as assessed by laboratory test abnormalities., 84 days treatment|Drug Safety- Electrocardiographic, Number of participants with emergent abnormal electrocardiograms., 84 days treatment|Drug Safety- C-SSRS, Development of any suicidality on COLUMBIA-SUICIDE SEVERITY RATING SCALE (C-SSRS) score (minimum 0, no maximum, higher number worse)., 84 days treatment|Drug Tolerability- Adverse events, Incidence of adverse events (AE)., 84 days treatment","Cognitive change-MMSE, Change in MiniMental State Examination (MMSE) score (0-30, higher score better)., 84 days treatment|Cognitive change-ADAScog, Change in Alzheimer's Disease Assessment Scale (ADAScog) score (0-70, higher score worse)., 84 days treatment|Cognitive change-Executive, Change in Trails A (0 - 150 sec) and Trails B test scores (0-300 sec), higher scores worse., 84 days treatment|Cognitive change-Language, Change in Verbal Fluency tests for animals and letters (both minimum 0, no maximum, higher scores better)., 84 days treatment|Functional performance- ADCS-ADL, Change in Alzheimers Disease Cooperative Study Activities of Daily Living (ADCS-ADL) scale (0 - 78, higher score better)., 84 days treatment|Functional performance-CDR, Change in Clinical Disease Rating Scale (0 - 3, higher score worse)., 84 days treatment|Behavioral Scale - NPI-Q, Change in Neuropsychiatric Inventory Questionnaire (NPI-Q) (0-36, higher scores worse)., 84 days treatment|Pharmacodynamics - cytokines, Changes in biomarker measurements of plasma levels of cytokines (IFN-γ, IL-1β, IL-4, IL-5, IL-6, IL-8, IL-10, IL-12P70, IL-22, and TNFα) by Simoa assay (pg/mL)., 84 days treatment|Pharmacodynamics - neuronal biomarkers, Changes in biomarker measurements of plasma levels of tau protein and NfL protein by Simoa assay (pg/mL)., 84 days treatment","Neurokine Therapeutics","PHASE2","2022-05-01","2024-08-31"
"NCT05508789","RECRUITING","DRUG: Donanemab|DRUG: Placebo","Change from Baseline on the Integrated Alzheimer's Disease Rating Scale (iADRS), Change from Baseline on the iADRS in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76","Change from Baseline on the Clinical Dementia Rating Scale-Sum of Boxes (CDR-SB), Change from Baseline CDR-SB in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76|Change from Baseline on the Alzheimer's Disease Assessment Scale - Cognitive Subscale ADAS-Cog13 Score, Change from Baseline on the ADAS-Cog13 Score in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76|Change from Baseline on the Alzheimer's Disease Cooperative Study - instrumental Activities of Daily Living ADCS-iADL Score, Change from Baseline ADCS-iADL Score in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76|Change from Baseline on the Mini Mental State Examination (MMSE) Score, Change from Baseline on the MMSE Score in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76|Change from Baseline in Amyloid Plaque Deposition as by Florbetapir F18 Positron Emission Tomography (PET) Scan, Baseline, Week 76|Pharmacokinetics (PK): Average Serum Concentration of Donanemab, Baseline to Week 76|Number of Participants with Treatment-Emergent Anti-Drug Antibodies (ADAs), Week 76|Change from Baseline in Quality of Life in Alzheimer's Disease (QOL-AD), Change from baseline in the QoL-AD in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76|Change from Baseline in Resource Utilization in Dementia - Lite Version (RUD-Lite), Change from baseline in the RUD-Lite in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76|Change from Baseline in Neuropsychiatric Inventory (NPI), Change from baseline in the NPI in at least one of 'the low-medium tau pathology population or the overall population'., Baseline, Week 76","Eli Lilly and Company","PHASE3","2022-10-10","2027-04-16"
"NCT06432166","NOT_YET_RECRUITING","DRUG: 2-hydroxybenzylamine acetate|OTHER: Placebo","Safety/Tolerability (adverse events), Rates of adverse events will be compared between active and placebo arms and presented as summary statistics., Baseline to week 16|Change in dicarbonyl protein adducts, Change in CSF levels of the dilysyl-malondialdehyde crosslink and the lysyl-levuglandin adduct of CSF proteins in a dose-responsive relationship, Baseline to week 16","Compliance, Treatment compliance will be assessed through pill counts at Week 8 and 16, Baseline to week 16|Measurement of biomarker, p-Tau181, Change in phosphorylated-Tau-181 levels in CSF and plasma:, Baseline to week 16|Measurement biomarker, human cartilage glycoprotein 39 (YKL-4), Change in plasma concentration of human cartilage glycoprotein 39 (YKL-4), Baseline to week 16|Measurment of biomarker, neurofilaments light chain protein (NF-L), Change in the concentration of neurofilaments light chain protein (NF-L) in CSF and plasma, Baseline to week 16|Measurement of biomarker, F2-Isoprostanes, Change in concentration F2-Isoprostanes in plasma and urine:, Baseline to week 16|Measurement of biomarker, 8-hydroxy-2'-deoxyguanosine, Change in concentration of 8-hydroxy-2'-deoxyguanosine in plasma, Baseline to week 16","MTI Biotech Inc","PHASE1|PHASE2","2024-07-01","2027-06-30"
"NCT03954613","UNKNOWN","COMBINATION_PRODUCT: Ebicomb","Change in MOCA total score, MOCA: Montreal - Cognitive Assessment, 6-months","Change in GDS total score, GDS (The Geriatric Depression Scale), 6-months|Change in ADAS-Cog total score, ADAS-Cog: Alzheimer's Disease Assessment Scale- Cognitive Subscale, 6-months|Change in CDR total score, CDR: The Clinical Dementia Rating, 6-months|Change in B-ADL total score, B-ADL: The Bayer Activities of Daily Living Scale, 6-months|Change in clock drawing test, The subject is asked to draw the face of a clock with all numbers and to set the hands for a specified time (hh:mm) and will be evaluated according to ability to draw., 6-months","Neutec Ar-Ge San ve Tic A.Ş","PHASE4","2020-10-15","2023-03-01"
"NCT05965414","ACTIVE_NOT_RECRUITING","DRUG: CS6253 Solution for Injection|DRUG: Placebo","Safety and tolerability of CS6253, All treatment emerging Adverse Events (TAEs) will be recorded until the SAD: Day 4 and MAD: Day 13, SAD: After dosing and until 72 hours after dosing; MAD: After dosing until day 13 (72 hours after the last dosing on day 10)|SAD-Plasma: AUC0-last, Area under the concentration-time curve until the last quantifiable concentration, Pharmacokinetics (PK) samples will be collected at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48, and 72 hours postdose; MAD:|SAD-Plasma: AUC0-inf, Area under the concentration time curve from time 0 extrapolated to infinity, PK samples will be collected at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48, and 72 hours postdose; MAD:|SAD-Plasma: Cmax, Maximum observed plasma concentration (eg C0), PK samples will be collected at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48, and 72 hours postdose; MAD:|SAD-Plasma: Kel, Terminal elimination rate constant, PK samples will be collected at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48, and 72 hours postdose; MAD:|SAD-Plasma: t1/2, Terminal elimination half-life, PK samples will be collected at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48, and 72 hours postdose; MAD:|SAD-Plasma: Clearance (CL/F), Apparent clearance, PK samples will be collected at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48, and 72 hours postdose; MAD:|SAD-Plasma: Vd/F, Apparent volume of distribution, PK samples will be collected at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48, and 72 hours postdose; MAD:|SAD-Cerebrospinal Fluid (CSF): AUC0-last, In cohorts 3-5:Area under the concentration-time curve in CSF until the last quantifiable concentration, PK samples will be collected by lumbar catheter starting predose, and at 0.5, 2, 8, 12 and 24 hours postdose.|SAD-CSF: Cmax, In cohorts 3-5:Maximum observed CSF concentration (eg C0)concentration, PK samples will be collected by lumbar catheter starting predose, and at 0.5, 2, 8, 12 and 24 hours postdose.|MAD-Plasma: AUC0-last, Area under the concentration-time curve until the last quantifiable concentration, PK samples will be collected after the first and fourth doses (Day 1 and Day 10) at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48 and 72 hours postdose.|MAD-Plasma: Cmax, Maximum observed plasma concentration (eg C0), PK samples will be collected after the first and fourth doses (Day 1 and Day 10) at predose and at 0.16, 0.5, 1, 2, 4, 8, 12, 24, 48 and 72 hours postdose.|MAD-CSF:AUC0-last, Area under the concentration-time curve until the last quantifiable concentration, CSF collection by lumbar puncture (LP) will be performed before the first dose. At the fourth dose, on Day 10, serial CSF samples will be collected by lumbar catheter starting predose, and at 0.5, 2, 8, 12 and 24 hours postdose.|MAD-CSF: Cmax, Maximum observed CSF concentration (eg C0), CSF collection by lumbar puncture (LP) will be performed before the first dose. At the fourth dose, on Day 10, serial CSF samples will be collected by lumbar catheter starting predose, and at 0.5, 2, 8, 12 and 24 hours postdose.",NA,"Artery Therapeutics, Inc.","EARLY_PHASE1","2023-10-23","2024-07-08"
"NCT06402838","RECRUITING","DRUG: RO7269162|DRUG: Placebo","Incidence of adverse events (AEs), up to week 72|Change from baseline in brain amyloid load, as measured by amyloid positron emission tomography ( PET) scan, Baseline to Week 72","Change from baseline in Aβ37 in cerebrospinal fluid (CSF), Baseline to Week 72|Change from baseline in Aβ38 in CSF, Baseline to Week 72|Change from baseline in Aβ40 in CSF, Baseline to Week 72|Change from baseline in Aβ42 in CSF, Baseline to Week 72|Change from baseline in Aβ40 in plasma, Baseline to Week 72|Change from baseline in Aβ42 in plasma, Baseline to Week 72|Plasma concentrations of RO7269162, Baseline to Week 72|CSF concentrations of RO7269162, Baseline to Week 72","Hoffmann-La Roche","PHASE2","2024-05-02","2027-05-19"
"NCT04770220","COMPLETED","DRUG: Experimental: ALZ-801|DRUG: Placebo Comparator: Placebo","Primary cognitive efficacy endpoint, Change from baseline in Alzheimer's Disease Assessment Scale - Cognitive Subscale 13 (ADAS-cog 13) scores at 78 weeks, Week 78|Incidence, Nature, and Severity of Treatment Emergent Adverse events (TEAE), Safety and tolerability as measured by incidence, nature and severity of treatment emergent adverse events (TEAE), serious TEAE, and TEAE leading to withdrawal., Week 78","Functional assessment 1, Change from baseline in Amsterdam - Instrumental Activities of Daily Living scores, Week 78|Global assessment, Change from baseline in Clinical Dementia Rating - Sum of Boxes (CDR-SB) scores, Week 78|Functional assessment 2, Change from baseline in Disability Assessment for Dementia (DAD)scores, Week 78","Alzheon Inc.","PHASE3","2021-05-19","2024-05-29"
